Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2019-03-18 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2019-03-18 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2019-03-18 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2019-03-18 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2019-03-18 00:00:00, 0.00, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2019-03-18 00:00:00, 1.85, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2019-03-19 00:00:00, 3.787, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2019-03-19 00:00:00, 9.440, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2019-03-19 00:00:00, 0.268,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2019-03-19 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2019-03-19 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2019-03-19 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2019-03-19 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2019-03-19 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2019-03-19 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2019-03-19 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2019-03-19 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2019-03-19 00:00:00, 0.00, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2019-03-19 00:00:00, 0.66, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2019-08-27 00:00:00, 5.604, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2019-08-27 00:00:00, 13.967, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2019-08-27 00:00:00, 0.268,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2019-08-27 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2019-08-27 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2019-08-27 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2019-08-27 00:00:00, Aucune donnée, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2019-08-27 00:00:00, Aucune donnée, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2019-08-27 00:00:00, Aucune donnée,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2019-08-27 00:00:00, Aucune donnée,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2019-08-27 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2019-08-27 00:00:00, 30, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2019-08-27 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2019-08-27 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2019-08-27 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2019-08-27 00:00:00, 0.07, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2019-08-27 00:00:00, 4.54, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2019-08-28 00:00:00, 5.675, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2019-08-28 00:00:00, 14.144, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2019-08-28 00:00:00, 0.268,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2019-08-28 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2019-08-28 00:00:00, 0,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2019-08-28 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2019-08-28 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2019-08-28 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2019-08-28 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2019-08-28 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2019-08-28 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2019-08-28 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2019-08-28 00:00:00, 31, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2019-08-28 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2019-08-28 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2019-08-28 00:00:00, 0.00, kWh
