Équipement,ID d'équipement,Données performance,Période statistique,Heure de début stats,Valeur,Unité,
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-13 00:00:00, 85717.44, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-13 00:00:00, 3299,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-13 00:00:00, 3243,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-13 00:00:00, 13.58, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-13 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-13 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-13 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-13 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-13 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-13 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-13 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-13 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-13 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-13 00:00:00, 399.14, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-13 00:00:00, 528.68, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-14 00:00:00, 67431.711, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-14 00:00:00, 168073.547, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-14 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-14 00:00:00, 86049.95, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-14 00:00:00, 3305,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-14 00:00:00, 3249,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-14 00:00:00, 14.08, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-14 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-14 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-14 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-14 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-14 00:00:00, 41, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-14 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-14 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-14 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-14 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-14 00:00:00, 521.49, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-14 00:00:00, 534.80, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-15 00:00:00, 67649.078, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-15 00:00:00, 168615.312, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-15 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-15 00:00:00, 86328.48, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-15 00:00:00, 3312,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-15 00:00:00, 3256,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-15 00:00:00, 15.02, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-15 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-15 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-15 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-15 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-15 00:00:00, 41, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-15 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-15 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-15 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-15 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-15 00:00:00, 452.54, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-15 00:00:00, 542.39, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-16 00:00:00, 67854.086, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-16 00:00:00, 169126.312, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-16 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-16 00:00:00, 86616.38, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-16 00:00:00, 3314,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-16 00:00:00, 3258,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-16 00:00:00, 13.63, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-16 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-16 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-16 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-16 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-16 00:00:00, 39, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-16 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-16 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-16 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-16 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-16 00:00:00, 439.17, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-16 00:00:00, 479.19, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-17 00:00:00, 68061.836, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-17 00:00:00, 169644.125, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-17 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-17 00:00:00, 86880.36, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-17 00:00:00, 3320,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-17 00:00:00, 3264,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-17 00:00:00, 14.18, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-17 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-17 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-17 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-17 00:00:00, 42, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-17 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-17 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-17 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-17 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-17 00:00:00, 416.82, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-17 00:00:00, 556.76, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-18 00:00:00, 68246.211, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-18 00:00:00, 170103.672, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-18 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-18 00:00:00, 87187.88, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-18 00:00:00, 3324,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-18 00:00:00, 3268,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-18 00:00:00, 14.53, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-18 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-18 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-18 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-18 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-18 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-18 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-18 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-18 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-18 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-18 00:00:00, 472.38, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-18 00:00:00, 506.97, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-19 00:00:00, 68483.227, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-19 00:00:00, 170694.438, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-19 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-19 00:00:00, 87518.83, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-19 00:00:00, 3337,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-19 00:00:00, 3281,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-19 00:00:00, 14.83, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-19 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-19 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-19 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-19 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-19 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-19 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-19 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-19 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-19 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-19 00:00:00, 515.92, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-19 00:00:00, 577.54, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-20 00:00:00, 68742.562, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-20 00:00:00, 171340.828, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-20 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-20 00:00:00, 87862.62, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-20 00:00:00, 3353,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-20 00:00:00, 3297,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-20 00:00:00, 13.60, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-20 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-20 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-20 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-20 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-20 00:00:00, 44, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-20 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-20 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-20 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-20 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-20 00:00:00, 566.97, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-20 00:00:00, 638.92, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-21 00:00:00, 68922.203, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-21 00:00:00, 171788.578, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-21 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-21 00:00:00, 88303.36, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-21 00:00:00, 3358,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-21 00:00:00, 3302,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-21 00:00:00, 13.68, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-21 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-21 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-21 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-21 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-21 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-21 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-21 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-21 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-21 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-21 00:00:00, 569.77, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-21 00:00:00, 481.17, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-22 00:00:00, 69027.578, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-22 00:00:00, 172051.234, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-22 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-22 00:00:00, 88481.11, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-22 00:00:00, 3362,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-22 00:00:00, 3305,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-22 00:00:00, 17.33, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-22 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-22 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-22 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-22 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-22 00:00:00, 42, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-22 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-22 00:00:00, 35, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-22 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-22 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-22 00:00:00, 257.32, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-22 00:00:00, 291.34, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-23 00:00:00, 69231.430, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-23 00:00:00, 172559.344, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-23 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-23 00:00:00, 88747.27, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-23 00:00:00, 3373,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-23 00:00:00, 3315,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-23 00:00:00, 17.08, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-23 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-23 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-23 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-23 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-23 00:00:00, 42, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-23 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-23 00:00:00, 36, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-23 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-23 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-23 00:00:00, 410.83, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-23 00:00:00, 545.04, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-24 00:00:00, 69447.531, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-24 00:00:00, 173097.969, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-24 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-24 00:00:00, 89064.09, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-24 00:00:00, 3389,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-24 00:00:00, 3331,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-24 00:00:00, 14.40, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-24 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-24 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-24 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-24 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-24 00:00:00, 43, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-24 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-24 00:00:00, 37, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-24 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-24 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-24 00:00:00, 497.12, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-24 00:00:00, 547.37, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-25 00:00:00, 69690.156, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-25 00:00:00, 173702.703, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-25 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-25 00:00:00, 89399.14, kWh
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nb. charges élém. bat., 1 Jour, 2021-05-25 00:00:00, 3419,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Nombre de décharges, 1 Jour, 2021-05-25 00:00:00, 3360,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Durée décharge max. quot., 1 Jour, 2021-05-25 00:00:00, 13.72, h
Régulateur, 0xEE8, Durée d'utilisation SIM1, 1 Jour, 2021-05-25 00:00:00, 0.00, h
Régulateur, 0xEE8, Durée d'utilisation SIM2, 1 Jour, 2021-05-25 00:00:00, 0.00, h
Régulateur, 0xEE8, Commutations de carte SIM1 vers SIM2, 1 Jour, 2021-05-25 00:00:00, 0,  
Régulateur, 0xEE8, Commutations de carte SIM2 vers SIM1, 1 Jour, 2021-05-25 00:00:00, 0,  
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus élevée, 1 Jour, 2021-05-25 00:00:00, 45, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante la plus basse, 1 Jour, 2021-05-25 00:00:00, 33, degC
Coffret de puissance1-Capteur T/H, 0x863, Température ambiante moyenne, 1 Jour, 2021-05-25 00:00:00, 38, degC
Coffret de puissance1-Capteur T/H, 0x863, Durée de température élevée, 1 Jour, 2021-05-25 00:00:00, 0.00, h
Coffret de puissance1-Capteur T/H, 0x863, Durée de température basse, 1 Jour, 2021-05-25 00:00:00, 0.00, h
Система микросети, 0x01, Consommation de la puissance de charge, 1 Jour, 2021-05-25 00:00:00, 534.85, kWh
Система микросети, 0x01, Alimentation principale solaire, 1 Jour, 2021-05-25 00:00:00, 619.50, kWh
Система микросети, 0x01, Économie de charbon standard, 1 Jour, 2021-05-26 00:00:00, 69896.805, kg
Система микросети, 0x01, Réduction des émissions de CO2, 1 Jour, 2021-05-26 00:00:00, 174217.766, kg
Система микросети, 0x01, Plantation équivalente d'arbres, 1 Jour, 2021-05-26 00:00:00, 38.004,  
Coffret de puissance1-Groupe Batteries Lihv, 0xE88, Capac. décharge totale, 1 Jour, 2021-05-26 00:00:00, 89757.49, kWh
